Date,Ingredient,Expected_Ingredient_Usage_kg,Purchased_Qty_kg,Quantity_Used,Waste_kg,Is_Weekend,Weather,Holiday
2024-01-02,Tomatoes,37.26,79.53,58.74,20.79,0,Partly Cloudy,No
2024-01-02,Yogurt,10.11,9.01,8.01,1.0,0,Partly Cloudy,No
2024-01-03,Butter,13.870000000000001,12.04,9.35,2.6899999999999995,0,Foggy,No
2024-01-03,Chicken,49.769999999999996,12.05,10.4,1.6500000000000004,0,Foggy,No
2024-01-03,Chilli Powder,0.281,0.57,0.53,0.039999999999999925,0,Foggy,No
2024-01-03,Cooking Oil,18.552,22.99,19.01,3.979999999999997,0,Foggy,No
2024-01-03,Coriander,0.4,2.65,2.03,0.6200000000000001,0,Foggy,No
2024-01-03,Flour,49.59,131.67,94.87,36.79999999999998,0,Foggy,No
2024-01-03,Garlic,2.435,3.18,2.56,0.6200000000000001,0,Foggy,No
2024-01-03,Ginger,2.181,1.45,1.28,0.16999999999999993,0,Foggy,No
2024-01-03,Milk,43.63,31.04,21.74,9.3,0,Foggy,No
2024-01-03,Onions,35.705,91.73,64.28,27.450000000000003,0,Foggy,No
2024-01-03,Paneer,20.31,24.78,18.46,6.32,0,Foggy,No
2024-01-03,Potatoes,48.2,86.63,64.98,21.64999999999999,0,Foggy,No
2024-01-03,Rice,24.45,164.66,148.84,15.819999999999993,0,Foggy,No
2024-01-03,Salt,2.224,6.17,4.9,1.2699999999999996,0,Foggy,No
2024-01-03,Spices Mix,6.696000000000001,3.71,3.12,0.5899999999999999,0,Foggy,No
2024-01-03,Sugar,14.61,5.07,4.6,0.47000000000000064,0,Foggy,No
2024-01-03,Tomatoes,38.0,28.44,21.08,7.360000000000003,0,Foggy,No
2024-01-03,Yogurt,14.94,8.79,7.05,1.7399999999999993,0,Foggy,No
2024-01-04,Butter,11.33,5.48,4.04,1.4400000000000004,0,Sunny,No
2024-01-04,Chicken,55.12,13.74,10.84,2.9000000000000004,0,Sunny,No
2024-01-04,Chilli Powder,0.20500000000000002,0.81,0.58,0.2300000000000001,0,Sunny,No
2024-01-04,Cooking Oil,16.579,11.31,10.29,1.0200000000000014,0,Sunny,No
2024-01-04,Coriander,0.435,1.94,1.7,0.24,0,Sunny,No
2024-01-04,Flour,43.28,183.28,157.57,25.710000000000008,0,Sunny,No
2024-01-04,Garlic,2.064,3.03,2.77,0.2599999999999998,0,Sunny,No
2024-01-04,Ginger,1.964,3.79,3.23,0.56,0,Sunny,No
2024-01-04,Milk,37.72,22.73,20.53,2.1999999999999993,0,Sunny,No
2024-01-04,Onions,35.47,57.38,51.69,5.690000000000005,0,Sunny,No
2024-01-04,Paneer,15.73,11.35,8.51,2.84,0,Sunny,No
2024-01-04,Potatoes,48.800000000000004,43.79,35.37,8.420000000000002,0,Sunny,No
2024-01-04,Rice,18.74,118.47,102.08,16.39,0,Sunny,No
2024-01-04,Salt,1.986,17.6,13.85,3.7500000000000018,0,Sunny,No
2024-01-04,Spices Mix,6.163,3.84,2.99,0.8499999999999996,0,Sunny,No
2024-01-04,Sugar,9.138,16.98,12.3,4.68,0,Sunny,No
2024-01-04,Tomatoes,35.08,49.13,42.79,6.340000000000003,0,Sunny,No
2024-01-04,Yogurt,12.94,11.27,8.58,2.6899999999999995,0,Sunny,No
2024-01-05,Butter,10.735,8.8,7.82,0.9800000000000004,0,Rainy,No
2024-01-05,Chicken,44.47,32.15,28.74,3.41,0,Rainy,No
2024-01-05,Chilli Powder,0.34400000000000003,1.11,1.0,0.1100000000000001,0,Rainy,No
2024-01-05,Cooking Oil,14.832,10.62,8.37,2.25,0,Rainy,No
2024-01-05,Coriander,0.312,1.89,1.66,0.22999999999999998,0,Rainy,No
2024-01-05,Flour,43.81,98.84,86.5,12.340000000000003,0,Rainy,No
2024-01-05,Garlic,1.864,5.26,3.71,1.5499999999999998,0,Rainy,No
2024-01-05,Ginger,1.9700000000000002,1.07,1.0,0.07000000000000006,0,Rainy,No
2024-01-05,Milk,31.07,44.18,33.71,10.469999999999999,0,Rainy,No
2024-01-05,Onions,29.635,106.79,75.78,31.010000000000005,0,Rainy,No
2024-01-05,Paneer,15.73,19.57,14.5,5.07,0,Rainy,No
2024-01-05,Potatoes,28.630000000000003,116.4,94.0,22.400000000000006,0,Rainy,No
2024-01-05,Rice,16.5,73.83,55.99,17.839999999999996,0,Rainy,No
2024-01-05,Salt,1.691,17.91,14.66,3.25,0,Rainy,No
2024-01-05,Spices Mix,5.213,4.09,3.25,0.8399999999999999,0,Rainy,No
2024-01-05,Sugar,12.188,16.19,14.18,2.0100000000000016,0,Rainy,No
2024-01-05,Tomatoes,28.65,43.21,37.24,5.969999999999999,0,Rainy,No
2024-01-05,Yogurt,11.52,10.08,9.33,0.75,0,Rainy,No
2024-01-06,Butter,10.85,7.95,6.77,1.1800000000000006,1,Rainy,No
2024-01-06,Chicken,70.74,29.93,22.0,7.93,1,Rainy,No
2024-01-06,Chilli Powder,0.39,0.77,0.68,0.08999999999999997,1,Rainy,No
2024-01-06,Cooking Oil,19.134,13.83,10.44,3.3900000000000006,1,Rainy,No
2024-01-06,Coriander,0.451,2.96,2.62,0.33999999999999986,1,Rainy,No
2024-01-06,Flour,48.27,104.84,91.05,13.790000000000006,1,Rainy,No
2024-01-06,Garlic,2.726,4.26,3.46,0.7999999999999998,1,Rainy,No
2024-01-06,Ginger,2.725,2.18,1.62,0.56,1,Rainy,No
2024-01-06,Milk,47.81,49.67,37.6,12.07,1,Rainy,No
2024-01-06,Onions,39.38,38.03,30.02,8.010000000000002,1,Rainy,No
2024-01-06,Paneer,18.75,8.1,7.45,0.6499999999999995,1,Rainy,No
2024-01-06,Potatoes,47.95,122.91,113.78,9.129999999999995,1,Rainy,No
2024-01-06,Rice,28.21,105.08,82.45,22.629999999999995,1,Rainy,No
2024-01-06,Salt,2.321,9.69,7.58,2.1099999999999994,1,Rainy,No
2024-01-06,Spices Mix,7.2330000000000005,7.67,5.91,1.7599999999999998,1,Rainy,No
2024-01-06,Sugar,11.885,9.66,7.78,1.88,1,Rainy,No
2024-01-06,Tomatoes,40.03,38.33,33.81,4.519999999999996,1,Rainy,No
2024-01-06,Yogurt,15.129999999999999,7.04,5.67,1.37,1,Rainy,No
2024-01-07,Butter,13.545,7.79,7.29,0.5,1,Cloudy,No
2024-01-07,Chicken,62.58,11.73,9.69,2.040000000000001,1,Cloudy,No
2024-01-07,Chilli Powder,0.37,0.6,0.55,0.04999999999999993,1,Cloudy,No
2024-01-07,Cooking Oil,17.854,20.81,16.13,4.68,1,Cloudy,No
2024-01-07,Coriander,0.45,1.68,1.22,0.45999999999999996,1,Cloudy,No
2024-01-07,Flour,60.56,168.21,135.2,33.01000000000002,1,Cloudy,No
2024-01-07,Garlic,2.319,7.5,6.02,1.4800000000000004,1,Cloudy,No
2024-01-07,Ginger,1.995,1.45,1.25,0.19999999999999996,1,Cloudy,No
2024-01-07,Milk,34.89,13.72,12.82,0.9000000000000004,1,Cloudy,No
2024-01-07,Onions,39.195,48.79,42.53,6.259999999999998,1,Cloudy,No
2024-01-07,Paneer,17.07,24.64,19.31,5.330000000000002,1,Cloudy,No
2024-01-07,Potatoes,41.17,136.59,104.9,31.689999999999998,1,Cloudy,No
2024-01-07,Rice,25.23,146.93,133.58,13.349999999999994,1,Cloudy,No
2024-01-07,Salt,2.291,13.82,12.7,1.120000000000001,1,Cloudy,No
2024-01-07,Spices Mix,6.3870000000000005,4.04,2.9,1.1400000000000001,1,Cloudy,No
2024-01-07,Sugar,11.228,19.7,16.09,3.6099999999999994,1,Cloudy,No
2024-01-07,Tomatoes,34.95,42.89,37.2,5.689999999999998,1,Cloudy,No
2024-01-07,Yogurt,11.7,18.0,16.28,1.7199999999999989,1,Cloudy,No
2024-01-08,Butter,13.065000000000001,11.23,10.03,1.200000000000001,0,Partly Cloudy,No
2024-01-08,Chicken,58.15,46.61,39.43,7.18,0,Partly Cloudy,No
2024-01-08,Chilli Powder,0.273,0.95,0.82,0.13,0,Partly Cloudy,No
2024-01-08,Cooking Oil,17.695999999999998,5.94,4.39,1.5500000000000007,0,Partly Cloudy,No
2024-01-08,Coriander,0.35000000000000003,2.86,2.58,0.2799999999999998,0,Partly Cloudy,No
2024-01-08,Flour,49.25,98.8,86.88,11.920000000000002,0,Partly Cloudy,No
2024-01-08,Garlic,2.233,5.47,4.48,0.9899999999999993,0,Partly Cloudy,No
2024-01-08,Ginger,2.087,1.37,0.99,0.3800000000000001,0,Partly Cloudy,No
2024-01-08,Milk,40.97,41.44,30.29,11.149999999999999,0,Partly Cloudy,No
2024-01-08,Onions,40.135,78.87,57.1,21.770000000000003,0,Partly Cloudy,No
2024-01-08,Paneer,24.31,20.37,16.62,3.75,0,Partly Cloudy,No
2024-01-08,Potatoes,39.089999999999996,55.61,44.21,11.399999999999999,0,Partly Cloudy,No
2024-01-08,Rice,23.81,189.36,139.19,50.170000000000016,0,Partly Cloudy,No
2024-01-08,Salt,2.144,5.33,4.01,1.3200000000000003,0,Partly Cloudy,No
2024-01-08,Spices Mix,6.623,2.75,2.26,0.4900000000000002,0,Partly Cloudy,No
2024-01-08,Sugar,13.948,16.19,12.29,3.900000000000002,0,Partly Cloudy,No
2024-01-08,Tomatoes,40.33,75.12,68.19,6.930000000000007,0,Partly Cloudy,No
2024-01-08,Yogurt,16.39,5.64,4.19,1.4499999999999993,0,Partly Cloudy,No
2024-01-09,Butter,14.41,7.44,5.46,1.9800000000000004,0,Partly Cloudy,No
2024-01-09,Chicken,55.24,25.01,17.62,7.390000000000001,0,Partly Cloudy,No
2024-01-09,Chilli Powder,0.402,1.96,1.53,0.42999999999999994,0,Partly Cloudy,No
2024-01-09,Cooking Oil,20.646,23.53,17.4,6.130000000000003,0,Partly Cloudy,No
2024-01-09,Coriander,0.446,0.73,0.55,0.17999999999999994,0,Partly Cloudy,No
2024-01-09,Flour,55.5,140.28,116.86,23.42,0,Partly Cloudy,No
2024-01-09,Garlic,2.409,3.75,2.82,0.9300000000000002,0,Partly Cloudy,No
2024-01-09,Ginger,2.574,4.73,3.47,1.2600000000000002,0,Partly Cloudy,No
2024-01-09,Milk,42.370000000000005,22.1,15.47,6.630000000000001,0,Partly Cloudy,No
2024-01-09,Onions,40.0,77.27,54.45,22.819999999999993,0,Partly Cloudy,No
2024-01-09,Paneer,21.61,29.58,21.45,8.129999999999999,0,Partly Cloudy,No
2024-01-09,Potatoes,41.370000000000005,98.18,82.87,15.310000000000002,0,Partly Cloudy,No
2024-01-09,Rice,24.27,77.43,72.68,4.75,0,Partly Cloudy,No
2024-01-09,Salt,2.213,17.35,14.68,2.6700000000000017,0,Partly Cloudy,No
2024-01-09,Spices Mix,7.017,2.79,2.32,0.4700000000000002,0,Partly Cloudy,No
2024-01-09,Sugar,15.107,12.04,10.03,2.01,0,Partly Cloudy,No
2024-01-09,Tomatoes,38.94,98.35,73.22,25.129999999999995,0,Partly Cloudy,No
2024-01-09,Yogurt,11.07,11.38,10.02,1.3600000000000012,0,Partly Cloudy,No
2024-01-10,Butter,12.165,12.18,10.98,1.1999999999999993,0,Rainy,No
2024-01-10,Chicken,44.14,43.31,39.86,3.450000000000003,0,Rainy,No
2024-01-10,Chilli Powder,0.261,1.12,0.88,0.2400000000000001,0,Rainy,No
2024-01-10,Cooking Oil,16.379,6.96,5.64,1.3200000000000003,0,Rainy,No
2024-01-10,Coriander,0.387,0.83,0.62,0.20999999999999996,0,Rainy,No
2024-01-10,Flour,52.71,135.82,128.27,7.549999999999983,0,Rainy,No
2024-01-10,Garlic,2.199,2.16,1.65,0.5100000000000002,0,Rainy,No
2024-01-10,Ginger,2.058,1.39,1.26,0.1299999999999999,0,Rainy,No
2024-01-10,Milk,40.08,22.9,17.8,5.099999999999998,0,Rainy,No
2024-01-10,Onions,37.215,72.09,56.63,15.46,0,Rainy,No
2024-01-10,Paneer,17.849999999999998,29.93,27.43,2.5,0,Rainy,No
2024-01-10,Potatoes,41.410000000000004,92.51,69.69,22.820000000000007,0,Rainy,No
2024-01-10,Rice,23.259999999999998,199.13,182.66,16.47,0,Rainy,No
2024-01-10,Salt,2.088,10.88,8.46,2.42,0,Rainy,No
2024-01-10,Spices Mix,5.924,6.09,4.53,1.5599999999999996,0,Rainy,No
2024-01-10,Sugar,10.504,8.1,7.69,0.40999999999999925,0,Rainy,No
2024-01-10,Tomatoes,34.65,98.43,79.42,19.010000000000005,0,Rainy,No
2024-01-10,Yogurt,17.15,17.96,13.95,4.010000000000002,0,Rainy,No
2024-01-11,Butter,11.55,7.06,6.31,0.75,0,Cloudy,No
2024-01-11,Chicken,57.97,26.22,22.31,3.91,0,Cloudy,No
2024-01-11,Chilli Powder,0.371,0.61,0.51,0.09999999999999998,0,Cloudy,No
2024-01-11,Cooking Oil,18.922,5.83,4.66,1.17,0,Cloudy,No
2024-01-11,Coriander,0.43,2.32,1.94,0.3799999999999999,0,Cloudy,No
2024-01-11,Flour,59.970000000000006,192.87,160.17,32.70000000000002,0,Cloudy,No
2024-01-11,Garlic,2.615,5.14,4.48,0.6599999999999993,0,Cloudy,No
2024-01-11,Ginger,2.432,4.67,3.41,1.2599999999999998,0,Cloudy,No
2024-01-11,Milk,44.75,10.22,9.39,0.8300000000000001,0,Cloudy,No
2024-01-11,Onions,38.495,111.76,83.95,27.810000000000002,0,Cloudy,No
2024-01-11,Paneer,20.38,6.8,6.22,0.5800000000000001,0,Cloudy,No
2024-01-11,Potatoes,37.97,80.96,76.09,4.86999999999999,0,Cloudy,No
2024-01-11,Rice,21.62,179.8,163.23,16.57000000000002,0,Cloudy,No
2024-01-11,Salt,2.202,9.28,7.15,2.129999999999999,0,Cloudy,No
2024-01-11,Spices Mix,6.957,8.11,6.23,1.879999999999999,0,Cloudy,No
2024-01-11,Sugar,11.65,11.67,8.53,3.1400000000000006,0,Cloudy,No
2024-01-11,Tomatoes,38.04,38.49,30.94,7.550000000000001,0,Cloudy,No
2024-01-11,Yogurt,13.17,18.74,13.64,5.099999999999998,0,Cloudy,No
2024-01-12,Butter,11.15,7.81,6.82,0.9899999999999993,0,Sunny,No
2024-01-12,Chicken,59.14,21.73,15.43,6.300000000000001,0,Sunny,No
2024-01-12,Chilli Powder,0.268,1.57,1.17,0.40000000000000013,0,Sunny,No
2024-01-12,Cooking Oil,18.366,19.66,17.4,2.2600000000000016,0,Sunny,No
2024-01-12,Coriander,0.398,2.46,2.01,0.4500000000000002,0,Sunny,No
2024-01-12,Flour,54.730000000000004,188.56,145.67,42.890000000000015,0,Sunny,No
2024-01-12,Garlic,2.1470000000000002,4.01,3.64,0.36999999999999966,0,Sunny,No
2024-01-12,Ginger,2.284,3.85,2.89,0.96,0,Sunny,No
2024-01-12,Milk,34.78,24.45,20.91,3.539999999999999,0,Sunny,No
2024-01-12,Onions,40.230000000000004,82.19,65.13,17.060000000000002,0,Sunny,No
2024-01-12,Paneer,22.78,24.7,21.77,2.9299999999999997,0,Sunny,No
2024-01-12,Potatoes,37.86,122.86,104.16,18.700000000000003,0,Sunny,No
2024-01-12,Rice,26.78,60.67,52.71,7.960000000000001,0,Sunny,No
2024-01-12,Salt,2.199,13.76,11.91,1.8499999999999996,0,Sunny,No
2024-01-12,Spices Mix,6.646,8.16,7.61,0.5499999999999998,0,Sunny,No
2024-01-12,Sugar,9.189,13.22,11.16,2.0600000000000005,0,Sunny,No
2024-01-12,Tomatoes,32.57,33.86,30.23,3.629999999999999,0,Sunny,No
2024-01-12,Yogurt,12.45,6.43,5.22,1.21,0,Sunny,No
2024-01-13,Butter,12.135,7.45,6.28,1.17,1,Rainy,No
2024-01-13,Chicken,44.29,25.1,18.33,6.770000000000003,1,Rainy,No
2024-01-13,Chilli Powder,0.317,1.79,1.35,0.43999999999999995,1,Rainy,No
2024-01-13,Cooking Oil,18.237000000000002,19.58,17.49,2.09,1,Rainy,No
2024-01-13,Coriander,0.392,1.8,1.61,0.18999999999999995,1,Rainy,No
2024-01-13,Flour,51.870000000000005,82.17,74.72,7.450000000000003,1,Rainy,No
2024-01-13,Garlic,2.201,6.97,5.7,1.2699999999999996,1,Rainy,No
2024-01-13,Ginger,2.09,4.7,3.64,1.06,1,Rainy,No
2024-01-13,Milk,40.95,44.77,34.44,10.330000000000005,1,Rainy,No
2024-01-13,Onions,37.085,78.89,58.68,20.21,1,Rainy,No
2024-01-13,Paneer,23.43,10.15,7.41,2.74,1,Rainy,No
2024-01-13,Potatoes,45.3,137.3,122.14,15.16000000000001,1,Rainy,No
2024-01-13,Rice,23.189999999999998,80.62,59.2,21.42,1,Rainy,No
2024-01-13,Salt,2.118,15.16,13.69,1.4700000000000006,1,Rainy,No
2024-01-13,Spices Mix,6.6450000000000005,7.79,7.32,0.46999999999999975,1,Rainy,No
2024-01-13,Sugar,12.837,6.36,4.49,1.87,1,Rainy,No
2024-01-13,Tomatoes,32.480000000000004,60.62,42.56,18.059999999999995,1,Rainy,No
2024-01-13,Yogurt,11.190000000000001,17.47,13.21,4.259999999999998,1,Rainy,No
2024-01-14,Butter,11.59,10.7,7.93,2.7699999999999996,1,Foggy,No
2024-01-14,Chicken,61.31,34.61,26.02,8.59,1,Foggy,No
2024-01-14,Chilli Powder,0.399,0.76,0.65,0.10999999999999999,1,Foggy,No
2024-01-14,Cooking Oil,20.188,18.98,17.61,1.370000000000001,1,Foggy,No
2024-01-14,Coriander,0.36500000000000005,1.3,0.96,0.3400000000000001,1,Foggy,No
2024-01-14,Flour,59.68,107.57,96.29,11.279999999999987,1,Foggy,No
2024-01-14,Garlic,1.913,6.45,5.16,1.29,1,Foggy,No
2024-01-14,Ginger,2.02,2.34,1.89,0.44999999999999996,1,Foggy,No
2024-01-14,Milk,38.31,34.91,27.15,7.759999999999998,1,Foggy,No
2024-01-14,Onions,36.01,61.47,47.44,14.030000000000001,1,Foggy,No
2024-01-14,Paneer,15.8,7.76,5.49,2.2699999999999996,1,Foggy,No
2024-01-14,Potatoes,41.72,146.74,120.14,26.60000000000001,1,Foggy,No
2024-01-14,Rice,29.369999999999997,64.95,49.43,15.520000000000003,1,Foggy,No
2024-01-14,Salt,2.188,8.62,6.77,1.8499999999999996,1,Foggy,No
2024-01-14,Spices Mix,6.351,3.57,2.99,0.5799999999999996,1,Foggy,No
2024-01-14,Sugar,14.417,9.01,7.42,1.5899999999999999,1,Foggy,No
2024-01-14,Tomatoes,32.85,89.78,76.96,12.820000000000007,1,Foggy,No
2024-01-14,Yogurt,15.11,9.94,8.96,0.9799999999999986,1,Foggy,No
2024-01-15,Butter,11.955,11.05,10.42,0.6300000000000008,0,Foggy,No
2024-01-15,Chicken,46.64,32.29,27.95,4.34,0,Foggy,No
2024-01-15,Chilli Powder,0.203,0.56,0.41,0.15000000000000008,0,Foggy,No
2024-01-15,Cooking Oil,15.0,23.38,17.99,5.390000000000001,0,Foggy,No
2024-01-15,Coriander,0.333,1.98,1.42,0.56,0,Foggy,No
2024-01-15,Flour,48.78,119.8,86.11,33.69,0,Foggy,No
2024-01-15,Garlic,1.815,5.78,4.06,1.7200000000000006,0,Foggy,No
2024-01-15,Ginger,1.78,2.62,1.91,0.7100000000000002,0,Foggy,No
2024-01-15,Milk,36.54,39.04,30.91,8.129999999999999,0,Foggy,No
2024-01-15,Onions,30.765,43.58,32.34,11.239999999999995,0,Foggy,No
2024-01-15,Paneer,20.86,7.95,5.72,2.2300000000000004,0,Foggy,No
2024-01-15,Potatoes,42.79,61.29,53.92,7.369999999999997,0,Foggy,No
2024-01-15,Rice,18.31,140.29,108.37,31.919999999999987,0,Foggy,No
2024-01-15,Salt,2.015,13.55,12.11,1.4400000000000013,0,Foggy,No
2024-01-15,Spices Mix,5.712000000000001,4.38,3.95,0.4299999999999997,0,Foggy,No
2024-01-15,Sugar,12.252,17.82,15.27,2.5500000000000007,0,Foggy,No
2024-01-15,Tomatoes,31.54,85.06,76.67,8.39,0,Foggy,No
2024-01-15,Yogurt,8.629999999999999,19.16,16.25,2.91,0,Foggy,No
2024-01-16,Butter,12.325,2.84,2.53,0.31000000000000005,0,Foggy,No
2024-01-16,Chicken,62.86,19.29,15.06,4.229999999999999,0,Foggy,No
2024-01-16,Chilli Powder,0.209,1.39,1.07,0.31999999999999984,0,Foggy,No
2024-01-16,Cooking Oil,16.657,21.72,20.24,1.4800000000000004,0,Foggy,No
2024-01-16,Coriander,0.28500000000000003,2.96,2.33,0.6299999999999999,0,Foggy,No
2024-01-16,Flour,44.620000000000005,78.95,64.31,14.64,0,Foggy,No
2024-01-16,Garlic,2.27,3.4,2.72,0.6799999999999997,0,Foggy,No
2024-01-16,Ginger,2.132,3.17,2.3,0.8700000000000001,0,Foggy,No
2024-01-16,Milk,44.269999999999996,49.89,41.3,8.590000000000003,0,Foggy,No
2024-01-16,Onions,36.6,118.65,84.98,33.67,0,Foggy,No
2024-01-16,Paneer,25.25,28.92,23.77,5.150000000000002,0,Foggy,No
2024-01-16,Potatoes,34.06,129.13,116.76,12.36999999999999,0,Foggy,No
2024-01-16,Rice,23.31,174.86,149.07,25.79000000000002,0,Foggy,No
2024-01-16,Salt,2.069,10.94,10.34,0.5999999999999996,0,Foggy,No
2024-01-16,Spices Mix,6.474,8.71,7.64,1.0700000000000012,0,Foggy,No
2024-01-16,Sugar,13.121,13.99,11.59,2.4000000000000004,0,Foggy,No
2024-01-16,Tomatoes,38.83,83.9,59.26,24.640000000000008,0,Foggy,No
2024-01-16,Yogurt,15.19,10.44,8.02,2.42,0,Foggy,No
2024-01-17,Butter,13.33,5.46,4.83,0.6299999999999999,0,Foggy,No
2024-01-17,Chicken,59.85,28.63,25.41,3.219999999999999,0,Foggy,No
2024-01-17,Chilli Powder,0.349,1.3,0.94,0.3600000000000001,0,Foggy,No
2024-01-17,Cooking Oil,20.373,8.76,7.48,1.2799999999999994,0,Foggy,No
2024-01-17,Coriander,0.46799999999999997,1.18,0.9,0.2799999999999999,0,Foggy,No
2024-01-17,Flour,60.24,114.04,106.66,7.38000000000001,0,Foggy,No
2024-01-17,Garlic,2.586,2.88,2.02,0.8599999999999999,0,Foggy,No
2024-01-17,Ginger,2.432,3.36,3.04,0.31999999999999984,0,Foggy,No
2024-01-17,Milk,41.32,21.58,16.37,5.209999999999997,0,Foggy,No
2024-01-17,Onions,40.495000000000005,109.44,77.45,31.989999999999995,0,Foggy,No
2024-01-17,Paneer,21.88,19.98,18.57,1.4100000000000001,0,Foggy,No
2024-01-17,Potatoes,35.2,49.72,43.93,5.789999999999999,0,Foggy,No
2024-01-17,Rice,25.13,150.76,112.05,38.709999999999994,0,Foggy,No
2024-01-17,Salt,2.334,5.8,4.34,1.46,0,Foggy,No
2024-01-17,Spices Mix,6.893000000000001,2.38,2.23,0.1499999999999999,0,Foggy,No
2024-01-17,Sugar,13.77,9.05,8.48,0.5700000000000003,0,Foggy,No
2024-01-17,Tomatoes,40.480000000000004,36.65,33.77,2.8799999999999955,0,Foggy,No
2024-01-17,Yogurt,12.91,13.12,10.33,2.789999999999999,0,Foggy,No
2024-01-18,Butter,10.795,12.55,10.02,2.530000000000001,0,Cloudy,No
2024-01-18,Chicken,50.35,34.28,27.29,6.990000000000002,0,Cloudy,No
2024-01-18,Chilli Powder,0.43300000000000005,1.25,0.93,0.31999999999999995,0,Cloudy,No
2024-01-18,Cooking Oil,20.651,12.66,9.79,2.870000000000001,0,Cloudy,No
2024-01-18,Coriander,0.41000000000000003,2.0,1.48,0.52,0,Cloudy,No
2024-01-18,Flour,51.78,131.77,116.9,14.870000000000005,0,Cloudy,No
2024-01-18,Garlic,2.529,4.06,3.7,0.35999999999999943,0,Cloudy,No
2024-01-18,Ginger,2.212,1.29,1.2,0.09000000000000008,0,Cloudy,No
2024-01-18,Milk,38.92,32.48,25.63,6.849999999999998,0,Cloudy,No
2024-01-18,Onions,38.895,47.61,35.29,12.32,0,Cloudy,No
2024-01-18,Paneer,15.26,26.94,25.03,1.9100000000000001,0,Cloudy,No
2024-01-18,Potatoes,42.7,43.5,36.01,7.490000000000002,0,Cloudy,No
2024-01-18,Rice,22.43,109.2,95.03,14.170000000000002,0,Cloudy,No
2024-01-18,Salt,2.173,12.55,10.97,1.58,0,Cloudy,No
2024-01-18,Spices Mix,6.605,9.03,7.05,1.9799999999999995,0,Cloudy,No
2024-01-18,Sugar,11.261000000000001,19.71,16.74,2.9700000000000024,0,Cloudy,No
2024-01-18,Tomatoes,34.61,28.57,20.48,8.09,0,Cloudy,No
2024-01-18,Yogurt,13.15,7.75,7.15,0.5999999999999996,0,Cloudy,No
2024-01-19,Butter,12.76,4.42,3.52,0.8999999999999999,0,Sunny,No
2024-01-19,Chicken,59.46,29.48,21.24,8.240000000000002,0,Sunny,No
